# azimuth_deg phase_function
3.495000000000000000e+02 2.947610913560724929e-04
3.505000000000000000e+02 1.473805456780363007e-04
3.515000000000000000e+02 1.937736179903331180e-04
3.525000000000000000e+02 1.937736179903337414e-04
3.535000000000000000e+02 1.676707159389968338e-04
3.545000000000000000e+02 1.676707159389973487e-04
3.555000000000000000e+02 1.236425529169149777e-04
3.565000000000000000e+02 1.236425529169152488e-04
3.575000000000000000e+02 9.121485301417486379e-05
3.585000000000000000e+02 4.560742650708759453e-05
3.595000000000000000e+02 1.846389293644789458e-04
