# theta_deg   phase_function   DoLP
9.63750000e+01 2.07592938e-03 8.23091228e-01
9.66250000e+01 2.09146626e-03 8.19681973e-01
9.68750000e+01 2.05907677e-03 8.16488706e-01
9.71250000e+01 2.07378913e-03 8.12989780e-01
9.73750000e+01 2.06513231e-03 8.09613964e-01
9.76250000e+01 2.05664481e-03 8.06234095e-01
9.78750000e+01 2.04931821e-03 8.02937829e-01
9.81250000e+01 2.06391873e-03 7.99349856e-01
9.83750000e+01 2.03307559e-03 7.96128277e-01
9.86250000e+01 2.04774574e-03 7.92522277e-01
9.88750000e+01 2.04087378e-03 7.89184735e-01
9.91250000e+01 2.03209239e-03 7.85648574e-01
9.93750000e+01 2.02558145e-03 7.82320990e-01
9.96250000e+01 2.01817656e-03 7.78890647e-01
9.98750000e+01 2.03280298e-03 7.75203950e-01
1.00125000e+02 2.00368516e-03 7.71993992e-01
1.00375000e+02 2.01953359e-03 7.68420707e-01
1.00625000e+02 2.01251572e-03 7.64954414e-01
1.00875000e+02 2.00566560e-03 7.61497008e-01
1.01125000e+02 1.99896036e-03 7.58043540e-01
1.01375000e+02 2.01481373e-03 7.54427211e-01
1.01625000e+02 1.98589066e-03 7.51114136e-01
1.01875000e+02 2.00184785e-03 7.47503003e-01
1.02125000e+02 1.99553561e-03 7.44031711e-01
1.02375000e+02 1.98936767e-03 7.40568109e-01
1.02625000e+02 1.98466554e-03 7.37287524e-01
1.02875000e+02 1.97751076e-03 7.33680607e-01
1.03125000e+02 1.99356379e-03 7.30048398e-01
1.03375000e+02 1.96747548e-03 7.26979300e-01
1.03625000e+02 1.98368091e-03 7.23368119e-01
1.03875000e+02 1.97683341e-03 7.19741160e-01
1.04125000e+02 1.97294090e-03 7.16523226e-01
1.04375000e+02 1.96780121e-03 7.13125813e-01
1.04625000e+02 1.98407708e-03 7.09506399e-01
1.04875000e+02 1.95635530e-03 7.06116537e-01
1.05125000e+02 1.97575880e-03 7.02966162e-01
1.05375000e+02 1.94849303e-03 6.99625554e-01
1.05625000e+02 1.96503104e-03 6.96054852e-01
1.05875000e+02 1.96059508e-03 6.92720916e-01
1.06125000e+02 1.97708224e-03 6.89131755e-01
1.06375000e+02 1.95369178e-03 6.86340864e-01
1.06625000e+02 1.94806766e-03 6.82814567e-01
1.06875000e+02 1.96647448e-03 6.79548164e-01
1.07125000e+02 1.96266834e-03 6.76296247e-01
1.07375000e+02 1.95898469e-03 6.73068478e-01
1.07625000e+02 1.95546621e-03 6.69869234e-01
1.07875000e+02 1.95209283e-03 6.66696077e-01
1.08125000e+02 1.94887357e-03 6.63554775e-01
1.08375000e+02 1.96595681e-03 6.60092073e-01
1.08625000e+02 1.94278426e-03 6.57318489e-01
1.08875000e+02 1.96201437e-03 6.54247397e-01
1.09125000e+02 1.95931577e-03 6.51198040e-01
1.09375000e+02 1.95473794e-03 6.47814361e-01
1.09625000e+02 1.95436025e-03 6.45194763e-01
1.09875000e+02 1.95213753e-03 6.42248688e-01
1.10125000e+02 1.96978314e-03 6.38928746e-01
1.10375000e+02 1.95027227e-03 6.36840411e-01
1.10625000e+02 1.96598238e-03 6.33177595e-01
1.10875000e+02 1.96427270e-03 6.30339327e-01
1.11125000e+02 1.96503282e-03 6.27981095e-01
1.11375000e+02 1.96375609e-03 6.25248619e-01
1.11625000e+02 1.96263309e-03 6.22558959e-01
1.11875000e+02 1.96171104e-03 6.19917069e-01
1.12125000e+02 1.98267587e-03 6.17299662e-01
1.12375000e+02 1.97950817e-03 6.14227124e-01
1.12625000e+02 1.96259841e-03 6.12649387e-01
1.12875000e+02 1.98143834e-03 6.09752477e-01
1.13125000e+02 1.98138142e-03 6.07329396e-01
1.13375000e+02 1.98404267e-03 6.03585857e-01
1.13625000e+02 2.00542532e-03 5.99579546e-01
1.13875000e+02 2.00028201e-03 5.92892737e-01
1.14125000e+02 2.01516980e-03 5.92785493e-01
1.14375000e+02 2.01263367e-03 5.83357375e-01
1.14625000e+02 2.05699397e-03 5.68909489e-01
1.14875000e+02 2.05205956e-03 5.72436850e-01
1.15125000e+02 2.08390064e-03 5.56451481e-01
1.15375000e+02 2.09693290e-03 5.49950590e-01
1.15625000e+02 2.12791687e-03 5.43723870e-01
1.15875000e+02 2.16050450e-03 5.24020768e-01
1.16125000e+02 2.19731777e-03 5.16719296e-01
1.16375000e+02 2.24003682e-03 4.93373427e-01
1.16625000e+02 2.28208564e-03 4.85757929e-01
1.16875000e+02 2.30798240e-03 4.79892210e-01
1.17125000e+02 2.32912224e-03 4.74053456e-01
1.17375000e+02 2.40741538e-03 4.49947831e-01
1.17625000e+02 2.51679629e-03 4.27076164e-01
1.17875000e+02 2.46358539e-03 4.39961225e-01
1.18125000e+02 2.64512102e-03 4.00202134e-01
1.18375000e+02 2.58402331e-03 4.12680840e-01
1.18625000e+02 2.71034547e-03 3.93711748e-01
1.18875000e+02 2.81221280e-03 3.72744701e-01
1.19125000e+02 2.84892133e-03 3.71711702e-01
1.19375000e+02 2.96626553e-03 3.55238269e-01
1.19625000e+02 3.01680028e-03 3.55363219e-01
1.19875000e+02 3.02939170e-03 3.55054411e-01
1.20125000e+02 3.25853830e-03 3.28548924e-01
1.20375000e+02 3.18895577e-03 3.44958183e-01
1.20625000e+02 3.41971044e-03 3.21171161e-01
1.20875000e+02 3.45720234e-03 3.25769651e-01
1.21125000e+02 3.58212486e-03 3.18022135e-01
1.21375000e+02 3.61769641e-03 3.24019319e-01
1.21625000e+02 3.74273291e-03 3.18620426e-01
1.21875000e+02 3.88045424e-03 3.17036240e-01
1.22125000e+02 4.02353868e-03 3.15285130e-01
1.22375000e+02 4.15482920e-03 3.15637189e-01
1.22625000e+02 4.16182848e-03 3.23844724e-01
1.22875000e+02 4.41467140e-03 3.20046815e-01
1.23125000e+02 4.43587046e-03 3.30044532e-01
1.23375000e+02 4.66883405e-03 3.29328291e-01
1.23625000e+02 4.79280746e-03 3.35807176e-01
1.23875000e+02 4.90653768e-03 3.42194253e-01
1.24125000e+02 5.05066526e-03 3.51648641e-01
1.24375000e+02 5.15023833e-03 3.60654804e-01
1.24625000e+02 5.38645334e-03 3.67326589e-01
1.24875000e+02 5.59142964e-03 3.74693573e-01
1.25125000e+02 5.68877832e-03 3.88094559e-01
1.25375000e+02 5.91114647e-03 3.98654329e-01
1.25625000e+02 6.19123091e-03 4.06788523e-01
1.25875000e+02 6.30233864e-03 4.23870626e-01
1.26125000e+02 6.59489527e-03 4.35318405e-01
1.26375000e+02 6.75697587e-03 4.50827279e-01
1.26625000e+02 1.03083096e-02 5.50779624e-01
